apotheke,apotheke_plz,apotheke_stadt,name,bezeichnung,genetik,thc,cbd,preis_pro_gramm,verfuegbarkeit,produkt_url
Cannabis Taxi,73730,Esslingen,Frosted Flakes,Remexian 30/1 MTL FRF,Hybrid Indica Dominant,30%,1%,"6,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/remexian_30_1_mtl_frf-frosted_flakes?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Cap Junky,Soma OG 34/1 PF,Hybrid Indica Dominant,34%,1%,"8,25 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/soma_og_34_1_pf-cap_junky?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Black Lime,N!CE 29/1 BL,Hybrid,29%,1%,"5,55 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/n_ce_29_1_bl-black_lime?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Scoop of Chem x Early Orange,NOC SE 19 Essence,Hybrid Indica Dominant,18%,1%,"3,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/noc_se_19_essence-scoop_of_chem_x_early_orange?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Black Cherry Punch,THC AKUT MG 24 BCP,Hybrid Indica Dominant,24%,1%,"4,75 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/thc_akut_mg_24_bcp-black_cherry_punch?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Gorilla Glue,420 Natural 25/1 CA GG4,Hybrid,25%,<1%,"6,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/420-natural-25-1-ca-gg4-gorilla-glue?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Purple Ice Water,BOTANICS Purple Cream 26/1,Hybrid,26%,<1%,"6,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/botanics_purple_cream_26_1-purple_ice_water?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Banana Cream Cake,Cannamedical Indica Forte BC,Hybrid,24.7%,1%,"6,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/cannamedical_indica_forte_bc-banana_cream_cake?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Pink Kush,enua 27/1 PS3 PNK,Hybrid,24.5%,1%,"5,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/enua_27_1_ps3_pnk-pink_kush?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Rainbow Pavé,GhostDrops 30/1 CGD Rainbow Pave,Hybrid Sativa Dominant,30%,<1%,"7,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/ghostdrops_30_1_cgd_rainbow_pave-rainbow_pav_?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Grapes and Cream,AVAAY 28/1 GNC,Hybrid Indica Dominant,28%,1%,"7,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/avaay_28_1_gnc-grapes_and_cream?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Hawaiian Rain x Permanent Marker,Demecan CRAFT Cali 31:01,Hybrid Indica Dominant,31%,1%,"8,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/demecan_craft_cali_31_01-hawaiian_rain_x_permanent_marker?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Cosmic Candy,Remexian 33/1 GJY CCA,Hybrid,33%,1%,"6,95 €/g",NEU,https://greenmedical.health/de/cannabis/flower/remexian_33_1_gjy_cca-cosmic_candy?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Gorilla Glue 4,IMC THC25 T03 GG4,Indica,25%,<1%,"4,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/imc-thc25-t03-gg4-gorilla-glue-4?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Sherb Cream Pie,Remexian 15/1 KPS SCP,Hybrid,15%,1%,"3,75 €/g",NEU,https://greenmedical.health/de/cannabis/flower/remexian_15_1_kps_scp-sherb_cream_pie?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
